State,Data Centers,,,,Source: https://www.datacentermap.com/usa/ 
California,318,,,,
Texas,378,,,,
Florida,126,,,,
Virginia,600,,,,
Illinois,222,,,,
New York,143,,,,
Missouri,47,,,,
Georgia,157,,,,
Oregon,137,,,,
Ohio,188,,,,
Colorado,58,,,,
Washington,128,,,,
Arizona,150,,,,
Nevada,59,,,,
New Jersey,79,,,,
North Carolina,85,,,,
Iowa,104,,,,
Minnesota,60,,,,
Massachusetts,50,,,,
District of Columbia,7,,,,
Michigan,53,,,,
Utah,43,,,,
Pennsylvania,90,,,,
Wisconsin,44,,,,
Indiana,72,,,,
Alabama,26,,,,
Hawaii,9,,,,
New Mexico,21,,,,
Nebraska,36,,,,
Tennessee,60,,,,
Maryland,44,,,,
Kentucky,37,,,,
Montana,24,,,,
Kansas,16,,,,
Oklahoma,36,,,,
Maine,7,,,,
West Virginia,7,,,,
Alaska,4,,,,
North Dakota,20,,,,
South Carolina,28,,,,
South Dakota,5,,,,
Wyoming,13,,,,
Louisiana,22,,,,
Connecticut,60,,,,
Delaware,19,,,,
Rhode Island,7,,,,
Idaho,9,,,,
New Hampshire,10,,,,
Vermont,3,,,,
Mississippi,9,,,,
Arkansas,5,,,,
Total Data Centers:,3936,,,,
